"Country","Virus Name","Submitted"
"Spain","hCoV-19/Spain/MU-SBM-RS53/2021","2022-04-02"
"Panama","hCoV-19/Panama/GMI-PAM74240/2021","2022-04-02"
"USA","hCoV-19/USA/IA-SHL-1700846/2021","2022-04-01"
"The Bahamas","hCoV-19/Bahamas/15609-GMI/2021","2022-04-01"
"Slovenia","hCoV-19/Slovenia/17-059105-CE/2021","2022-04-01"
"South Africa","hCoV-19/South Africa/NICD-J01-0180/2021","2022-04-01"
"France","hCoV-19/France/PAC-CHUNICE-2103263701/2021","2022-03-31"
"Germany","hCoV-19/Germany/NW-RKI-I-663697/2022","2022-03-31"
"Italy","hCoV-19/Italy/APU-IZSPB-PT1679/2021","2022-03-31"
"Ecuador","hCoV-19/Ecuador/USFQ-3276/2021","2022-03-30"
"Argentina","hCoV-19/Argentina/INEI119707/2021","2022-03-30"
"Gabon","hCoV-19/Gabon/Z0472/2021","2022-03-29"
"United Kingdom","hCoV-19/England/PHEC-YYDTFC7/2022","2022-03-29"
"Canada","hCoV-19/Canada/MB-CPL-283735/2021","2022-03-28"
"Taiwan","hCoV-19/Taiwan/NTU123/2021","2022-03-25"
"Tunisia","hCoV-19/Tunisia/S-1180/2021","2022-03-24"
"India","hCoV-19/India/BR-NCDC-5709199/2021","2022-03-23"
"Mauritania","hCoV-19/Mauritanie/INRSP51943/2021","2022-03-23"
"Norway","hCoV-19/Norway/11302/2021","2022-03-23"
"Brazil","hCoV-19/Brazil/SC-FIOCRUZ-67261-R1/2021","2022-03-23"
"Kenya","hCoV-19/Kenya/ILRI_COVM02990/2021","2022-03-22"
"Austria","hCoV-19/Austria/CeMM4561/2021","2022-03-21"
"Russia","hCoV-19/Russia/KR-1063/2021","2022-03-21"
"Netherlands","hCoV-19/Netherlands/UT-RIVM-91573/2021","2022-03-17"
"Poland","hCoV-19/Poland/KCZ319/2021","2022-03-16"
"Luxembourg","hCoV-19/Luxembourg/LNS2711027/2021","2022-03-15"
"Japan","hCoV-19/Japan/HiroC65/2021","2022-03-14"
"Thailand","hCoV-19/Thailand/Bangkok_R098/2021","2022-03-14"
"Belgium","hCoV-19/Belgium/LHUB-ULB_127KMJ/2021","2022-03-14"
"Philippines","hCoV-19/Philippines/PH-RITM-796/2021","2022-03-11"
"Mongolia","hCoV-19/Mongolia/10011892/2022","2022-03-10"
"Turkey","hCoV-19/Turkey/ERAGEM-ALP-1102/2021","2022-03-09"
"Pakistan","hCoV-19/Pakistan/AKU-FEB-RUN-Illumina-S14/2021","2022-03-07"
"Lithuania","hCoV-19/mink/Lithuania/NFVRAI-11300-3/2021","2022-03-02"
"Iraq","hCoV-19/Iraq/GD-ZIH-01/2021","2022-03-01"
"Ghana","hCoV-19/Ghana/WACCBIP-GS613/2021","2022-02-28"
"Switzerland","hCoV-19/Switzerland/VD-CHUV-GEN10301/2021","2022-02-28"
"Serbia","hCoV-19/Serbia/172B4-06/2021","2022-02-27"
"Puerto Rico","hCoV-19/Puerto Rico/PR-UPRRP-3028/2021","2022-02-24"
"Romania","hCoV-19/Romania/3430CRDR/2021","2022-02-24"
"Sao Tome and Principe","hCoV-19/Sao Tome and Principe/01/2021","2022-02-24"
"Ireland","hCoV-19/Ireland/D-CEPHR-AIIDM0326/2021","2022-02-23"
"South Korea","hCoV-19/South Korea/NMC-07/2021","2022-02-22"
"Mexico","hCoV-19/Mexico/DUR_UUSMD_CRUZROJA_211028_9/2021","2022-02-21"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv535/2021","2022-02-21"
"Israel","hCoV-19/Israel/HMO-VL-2551789/2021","2022-02-21"
"Palestine","hCoV-19/Palestine/QIBPS-PS-BL-113704/2021","2022-02-17"
"Cameroon","hCoV-19/Cameroon/CAM-102/2021","2022-02-17"
"China","hCoV-19/China/IVDC-HEB-268/2021","2022-02-15"
"Sweden","hCoV-19/Sweden/01_SE100_22CS501565/2021","2022-02-14"
"Guinea","hCoV-19/Guinea/LFHVG-G0335/2021","2022-02-05"
"Eswatini","hCoV-19/Eswatini/N10435/2021","2022-02-03"
"Latvia","hCoV-19/Latvia/5898/2021","2022-02-03"
"Sudan","hCoV-19/Sudan/N16925/2021","2022-02-03"
"Indonesia","hCoV-19/Indonesia/KT-EIJK-MRINUPH-0026/2021","2022-02-03"
"Colombia","hCoV-19/Colombia/BOL-FCC00977/2021","2022-02-02"
"Reunion","hCoV-19/Reunion/PIMIT_19975/2021","2022-02-01"
"Belarus","hCoV-19/Belarus/HM-CRIE-L219T0076u/2021","2022-02-01"
"Saint Lucia","hCoV-19/Saint Lucia/74397/2021","2022-01-31"
"Barbados","hCoV-19/Barbados/74820/2021","2022-01-31"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/73646/2021","2022-01-31"
"Jamaica","hCoV-19/Jamaica/47547/2020","2022-01-31"
"Kyrgyzstan","hCoV-19/Kyrgyzstan/Kyrg14113-070721/2021","2022-01-30"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC_0117L/2021","2022-01-30"
"Australia","hCoV-19/Australia/NSW-RPAH-0422/2021","2022-01-30"
"Nicaragua","hCoV-19/Nicaragua/MAN-133506/2021","2022-01-27"
"Hong Kong","hCoV-19/Hong Kong/3268-P2/2020","2022-01-27"
"Egypt","hCoV-19/Egypt/CPHL-EGY21045/2021","2022-01-25"
"Kuwait","hCoV-19/Kuwait/KMSPII-5834/2021","2022-01-23"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/69636/2021","2022-01-21"
"Cayman Islands","hCoV-19/Cayman Islands/49179/2021","2022-01-21"
"Guyana","hCoV-19/Guyana/70550/2021","2022-01-21"
"British Virgin Islands","hCoV-19/British Virgin Islands/69645/2021","2022-01-21"
"Malawi","hCoV-19/Malawi/COM-SEQ8492/2021","2022-01-20"
"Georgia","hCoV-19/Georgia/Tb-sNGS402/2021","2022-01-20"
"Uganda","hCoV-19/Uganda/IDRC-CZB-03/2021","2022-01-17"
"Czech Republic","hCoV-19/Czech Republic/KNL-010180158/2022","2022-01-16"
"Morocco","hCoV-19/Morocco/CNRST_CHU14/2021","2022-01-12"
"Senegal","hCoV-19/Senegal/10112789/2021","2022-01-10"
"Cabo Verde","hCoV-19/Cabo Verde/Santiago_27580/2021","2022-01-10"
"Gambia","hCoV-19/Gambia/PF6139/2021","2022-01-04"
"Libya","hCoV-19/Libya/MZ054881/2021","2022-01-03"
"Iran","hCoV-19/Iran/GRC-Tt-02-120-Tehran/2021","2022-01-02"
"Nigeria","hCoV-19/Nigeria/MRL-OS-2604/2021","2021-12-30"
"Sri Lanka","hCoV-19/Sri Lanka/ML-MRI-0023/2021","2021-12-26"
"Zambia","hCoV-19/Zambia/ZMB-121235/2021","2021-12-23"
"Denmark","hCoV-19/Denmark/DCGC-273149/2021","2021-12-22"
"Gibraltar","hCoV-19/Gibraltar/EXP_07092021-1116542-71/2020","2021-12-22"
"Venezuela","hCoV-19/Venezuela/Coj5281/2021","2021-12-18"
"Costa Rica","hCoV-19/Costa Rica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2062-658971/2021","2021-12-16"
"Madagascar","hCoV-19/Madagascar/IPM-62034/2021","2021-12-16"
"Burkina Faso","hCoV-19/Burkina Faso/CHUSS_7733/2021","2021-12-10"
"Malta","hCoV-19/Malta/MDxMDH586/2021","2021-12-08"
"Cambodia","hCoV-19/Cambodia/886723/2021","2021-12-08"
"Cyprus","hCoV-19/Cyprus/BMVUCY760/2021","2021-12-06"
"Qatar","hCoV-19/Qatar/QA.QU.20.8.E4/2021","2021-12-05"
"Benin","hCoV-19/Benin/NMIMR-UBA66254/2021","2021-12-04"
"Republic of the Congo","hCoV-19/Congo/RC-165/2021","2021-12-03"
"Djibouti","hCoV-19/Djibouti/NAMRU3_E30/2021","2021-12-01"
"Paraguay","hCoV-19/Paraguay/WOR12903A604/2021","2021-12-01"
"El Salvador","hCoV-19/El Salvador/02-36/2021","2021-11-24"
"Guam","hCoV-19/USA/GU-CDC-2-5097709/2021","2021-11-18"
"Dominican Republic","hCoV-19/DOM/202103002_603669/2021","2021-11-18"
