"Country","Virus Name","Submitted"
"Democratic Republic of the Congo","hCoV-19/DRC/INRB-RDC-478/2022","2022-04-01"
"France","hCoV-19/France/NAQ-Poitiers-2112020558/2021","2022-03-31"
"Belgium","hCoV-19/Belgium/UGent-13946/2021","2022-03-25"
"India","hCoV-19/India/UT-NCDC-5009210/2021","2022-03-23"
"Seychelles","hCoV-19/Seychelles/SS5605/2021","2022-03-16"
"Central African Republic","hCoV-19/Central African Republic/RCA-024/2022","2022-03-09"
"Chad","hCoV-19/Chad/TCH-005/2021","2022-03-06"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/IPCI-cv485/2021","2022-02-21"
"Rwanda","hCoV-19/Rwanda/NRLNAT4327/2021","2022-02-20"
"Republic of the Congo","hCoV-19/Congo/RC-342/2021","2022-02-17"
"USA","hCoV-19/USA/CA-CDPH-6000007062/2021","2022-02-10"
"Nigeria","hCoV-19/Nigeria/ON274/2021","2022-02-09"
"Germany","hCoV-19/Germany/NW-UHE-Essen_Outbreak_7/2021","2022-02-02"
"Botswana","hCoV-19/Botswana/CERI-KRISP-K027669/2021","2022-02-02"
"Canada","hCoV-19/Canada/ON-PHL-22-02914/2022","2022-01-26"
"Qatar","hCoV-19/Qatar/QA-QU-18-33-B8/2021","2022-01-24"
"United Kingdom","hCoV-19/England/PHEC-4M0A2ZFE/2022","2022-01-21"
"Luxembourg","hCoV-19/Luxembourg/LNS6636501/2021","2022-01-17"
"Italy","hCoV-19/Italy/LAZ-AMC-2112201624-DS/2021","2022-01-17"
"Switzerland","hCoV-19/Switzerland/VS-ETHZ-35457456/2021","2022-01-17"
"Czech Republic","hCoV-19/Czech Republic/FNHK-Ps-002209R/2021","2022-01-14"
"Turkey","hCoV-19/Turkey/HSGM-F13073/2021","2022-01-08"
"Indonesia","hCoV-19/Indonesia/JK-GS-GSILab-843004/2021","2021-12-28"
"Kenya","hCoV-19/Kenya/SS4231/2021","2021-12-20"
"Reunion","hCoV-19/Reunion/HCL021215597001/2021","2021-12-13"
"Ghana","hCoV-19/Ghana/TRA-2159/2021","2021-12-01"
"Spain","hCoV-19/Spain/CT-HUVH-E44748/2021","2021-11-15"
"Netherlands","hCoV-19/Netherlands/GR-RIVM-68090/2021","2021-11-12"
"Israel","hCoV-19/Israel/CVL-18186/2021","2021-10-29"
