"Country","Virus Name","Submitted"
"Panama","hCoV-19/Panama/GMI-PAM68636/2021","2022-04-02"
"Brazil","hCoV-19/Brazil/RN-IMT_4_26/2021","2022-04-01"
"USA","hCoV-19/USA/IA-SHL-1700978/2021","2022-04-01"
"The Bahamas","hCoV-19/Bahamas/15401-GMI/2021","2022-04-01"
"Venezuela","hCoV-19/Venezuela/Mon1645/2021","2022-03-31"
"Spain","hCoV-19/Spain/PV-HUB-52671759/2021","2022-03-31"
"Argentina","hCoV-19/Argentina/INEI119737/2021","2022-03-30"
"France","hCoV-19/France/HDF-ALPIGENE-2107290202/2021","2022-03-28"
"Canada","hCoV-19/Canada/BC-BCCDC-371502/2021","2022-03-25"
"Germany","hCoV-19/Germany/HH-hpi-p8396/2021","2022-03-23"
"Mexico","hCoV-19/Mexico/YUC-Biomedicos-6240032/2021","2022-03-15"
"Norway","hCoV-19/Norway/11589/2021","2022-03-08"
"Italy","hCoV-19/Italy/CAL_UNICZ_162_21_SCV2_WGS_Laboratorio_di_Genomica_Universita_di_Catanzaro/2021","2022-03-08"
"Peru","hCoV-19/Peru/PIU-INS-11454/2021","2022-03-04"
"United Kingdom","hCoV-19/England/PHEC-YYN3ED7/2022","2022-03-03"
"Chile","hCoV-19/Chile/LI-CF13/2021","2022-02-28"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/69698/2021","2022-02-25"
"South Korea","hCoV-19/South Korea/NMC-09/2021","2022-02-22"
"Colombia","hCoV-19/Colombia/DC-CABANA-COL-UdeA-UCR-INCIENSA-ITV-UBA-UGA-IMSS-UPC-CVU5637/2021","2022-02-18"
"Honduras","hCoV-19/Honduras/26669-ICGES/2021","2022-02-16"
"Netherlands","hCoV-19/Netherlands/OV-GD-8466003/2021","2022-02-04"
"Paraguay","hCoV-19/Paraguay/319937/2021","2022-02-03"
"Nicaragua","hCoV-19/Nicaragua/MAN-109406/2021","2022-01-27"
"Saint Vincent and the Grenadines","hCoV-19/Saint Vincent and the Grenadines/88906/2021","2022-01-21"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/69632/2021","2022-01-21"
"Guyana","hCoV-19/Guyana/70546/2021","2022-01-21"
"British Virgin Islands","hCoV-19/British Virgin Islands/69642/2021","2022-01-21"
"Bolivia","hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2224/2021","2022-01-18"
"Austria","hCoV-19/Austria/tyrolpath00000380/2021","2022-01-16"
"Lithuania","hCoV-19/Lithuania/LTU000_NMRVI_128672/2021","2022-01-13"
"Belgium","hCoV-19/Belgium/rega-3281/2021","2022-01-11"
"Denmark","hCoV-19/Denmark/DCGC-269581/2021","2021-12-21"
"Costa Rica","hCoV-19/Costa Rica/INC-2120-715668/2021","2021-12-17"
"Guatemala","hCoV-19/Guatemala/ASI4501/2021","2021-12-16"
"Malta","hCoV-19/Malta/MDxMDH618/2021","2021-12-09"
"India","hCoV-19/India/KL-GENESCOV03762/2021","2021-12-06"
"Sweden","hCoV-19/Sweden/01_SE100_21CS500447/2021","2021-12-06"
"Dominican Republic","hCoV-19/Dominican Republic/58481/2021","2021-11-30"
"Poland","hCoV-19/Poland/MIHE-210409081/2021","2021-11-24"
"French Guiana","hCoV-19/French Guiana/IPG2021868/2021","2021-11-23"
"Ecuador","hCoV-19/Ecuador/NIC-INSPI-58380/2021","2021-11-20"
"Russia","hCoV-19/Russia/SA-17620-080521/2021","2021-11-20"
"Japan","hCoV-19/Japan/TY30-974-P0/2021","2021-11-12"
"Portugal","hCoV-19/Portugal/PT20164/2021","2021-11-09"
"Israel","hCoV-19/Israel/SMC-7015132/2021","2021-11-09"
"Belize","hCoV-19/Belize/CML-176/2021","2021-11-03"
"Jordan","hCoV-19/Jordan/Biolab0241/2021","2021-11-02"
"Taiwan","hCoV-19/Taiwan/906/2021","2021-11-02"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CDC-S755/2021","2021-10-30"
"Suriname","hCoV-19/Suriname/SR-705/2021","2021-10-28"
"Philippines","hCoV-19/Philippines/PH-PGC-55046/2021","2021-10-26"
"Ireland","hCoV-19/Ireland/D-NVRL-M37IRL04468/2021","2021-10-22"
"Switzerland","hCoV-19/Switzerland/AG-Risch-2142400164/2021","2021-10-22"
"Luxembourg","hCoV-19/Luxembourg/LNS1192819/2021","2021-10-20"
"El Salvador","hCoV-19/El Salvador/INC-LNSP-002/2021","2021-10-14"
"Croatia","hCoV-19/Croatia/9450/2021","2021-10-09"
"Ghana","hCoV-19/Ghana/nCoV-TRA-894/2021","2021-09-29"
"Latvia","hCoV-19/Latvia/2453/2021","2021-09-27"
"Finland","hCoV-19/Finland/11340/2021","2021-09-11"
"Aruba","hCoV-19/Aruba/AW-RIVM-55223/2021","2021-09-10"
"Haiti","hCoV-19/Haiti/63230037/2021","2021-09-08"
"Iceland","hCoV-19/Iceland/11827/2021","2021-09-03"
"Barbados","hCoV-19/Barbados/79905/2021","2021-09-03"
"Romania","hCoV-19/Romania/Prahova_460460/2021","2021-09-02"
"Turkey","hCoV-19/Turkey/HSGM-C936/2021","2021-09-02"
"Martinique","hCoV-19/Martinique/CERBAHC-08403821/2021","2021-09-02"
"Antigua and Barbuda","hCoV-19/Antigua and Barbuda/79660/2021","2021-08-30"
"Montenegro","hCoV-19/Montenegro/CO-00366_MNE000_2586542102/2021","2021-08-25"
"Montserrat","hCoV-19/Montserrat/77650/2021","2021-08-24"
"Slovenia","hCoV-19/Slovenia/306632_1/2021","2021-08-19"
"U.S. Virgin Islands","hCoV-19/USA/VI-Yale-6661/2021","2021-08-11"
