"Country","Virus Name","Submitted"
"Panama","hCoV-19/Panama/GMI-PAM84091/2021","2022-04-02"
"Venezuela","hCoV-19/Venezuela/Lar65/2021","2022-03-31"
"Ecuador","hCoV-19/Ecuador/USFQ-3278/2021","2022-03-30"
"Bolivia","hCoV-19/Bolivia/INLASA-Pt16289/2021","2022-03-28"
"Canada","hCoV-19/Canada/BC-BCCDC-372228/2021","2022-03-25"
"USA","hCoV-19/USA/CA-CDPH-6000000287/2021","2022-03-22"
"Argentina","hCoV-19/Argentina/PAIS-G0792/2021","2022-03-16"
"Colombia","hCoV-19/Colombia/ATL-G-USB_023/2021","2022-03-10"
"Chile","hCoV-19/Chile/LI-CF104_CC97/2021","2022-02-28"
"Nicaragua","hCoV-19/Nicaragua/MAN-117626/2021","2022-02-24"
"Costa Rica","hCoV-19/Costa Rica/INC-1793-716564/2021","2022-02-24"
"Brazil","hCoV-19/Brazil/RO-FIOCRUZ-ILMD2203519/2021","2022-02-21"
"Netherlands","hCoV-19/Netherlands/OV-GD-9592036/2021","2022-02-04"
"Peru","hCoV-19/Peru/CUS-CUS00586/2021","2022-02-02"
"British Virgin Islands","hCoV-19/British Virgin Islands/79085/2021","2022-01-31"
"Saint Vincent and the Grenadines","hCoV-19/Saint Vincent and the Grenadines/88883/2021","2022-01-31"
"Jamaica","hCoV-19/Jamaica/82315/2021","2022-01-31"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/69640/2021","2022-01-31"
"Lithuania","hCoV-19/Lithuania/IBT-LSC-VU_r14_30/2021","2022-01-13"
"Spain","hCoV-19/Spain/MD-HGUGM-5756743/2021","2022-01-13"
"Mongolia","hCoV-19/Mongolia/202107069/2021","2022-01-07"
"Dominican Republic","hCoV-19/Dominican Republic/1316344/2021","2022-01-07"
"Morocco","hCoV-19/Morocco/RA42C/2021","2021-12-29"
"United Kingdom","hCoV-19/England/NORT-YBYQIG/2021","2021-12-28"
"Denmark","hCoV-19/Denmark/DCGC-275459/2021","2021-12-21"
"Mexico","hCoV-19/Mexico/ROO-CABANA-MX-UGA-IMSS_ITV_UBA_UCR_UdA_UPC-3434/2021","2021-12-18"
"Italy","hCoV-19/Italy/LOM-UniSR13/2021","2021-12-16"
"Belgium","hCoV-19/Belgium/ULB-IBC_CV2047566330/2021","2021-12-06"
"France","hCoV-19/France/BRE-CHUP-8600187953/2021","2021-11-10"
"Israel","hCoV-19/Israel/SMC-7014523/2021","2021-11-09"
"Portugal","hCoV-19/Portugal/PT20009/2021","2021-11-08"
"Finland","hCoV-19/Finland/THL-202121391/2021","2021-11-05"
"Germany","hCoV-19/Germany/NW-RKI-I-283432/2021","2021-10-21"
"Luxembourg","hCoV-19/Luxembourg/LNS4308875/2021","2021-10-20"
"Poland","hCoV-19/Poland/Gyncentrum0919/2021","2021-10-18"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CDC-S660/2021","2021-10-13"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-61673/2021","2021-10-05"
"Hong Kong","hCoV-19/Hong Kong/CM21000386_WHP4751/2021","2021-10-01"
"Slovakia","hCoV-19/Slovakia/15523/2021","2021-09-24"
"Japan","hCoV-19/Japan/TY27-063-P0/2021","2021-09-24"
"Aruba","hCoV-19/Aruba/AW-RIVM-56820/2021","2021-09-22"
"Czech Republic","hCoV-19/Czech Republic/KNL_2021-060140229/2021","2021-09-09"
"Guatemala","hCoV-19/Guatemala/2875/2021","2021-09-08"
"Haiti","hCoV-19/Haiti/63310101/2021","2021-09-08"
"Sweden","hCoV-19/Sweden/LP000295581/2021","2021-08-30"
"Gibraltar","hCoV-19/Gibraltar/EXP_20072021-1397854-58/2021","2021-08-30"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-51145/2021","2021-08-30"
"Switzerland","hCoV-19/Switzerland/VS-ICH-2210758540/2021","2021-08-26"
"Cayman Islands","hCoV-19/Cayman Islands/31379/2021","2021-08-25"
"Turkey","hCoV-19/Turkey/HSGM-G17712/2021","2021-08-15"
"Liechtenstein","hCoV-19/Liechtenstein/un-Risch-2140810066/2021","2021-08-13"
"U.S. Virgin Islands","hCoV-19/USA/VI-Yale-6660/2021","2021-08-12"
"Curacao","hCoV-19/Curacao/CW-RIVM-48297/2021","2021-08-07"
"Ireland","hCoV-19/Ireland/D-NVRL-S21IRL43278/2021","2021-07-22"
"South Korea","hCoV-19/South Korea/KDCA6502/2021","2021-07-21"
"Barbados","hCoV-19/Barbados/76424/2021","2021-07-15"
"Malta","hCoV-19/Malta/MDxMDH494/2021","2021-07-08"
"Austria","hCoV-19/Austria/CeMM11275/2021","2021-06-19"
