"Country","Virus Name","Submitted"
"Thailand","hCoV-19/Thailand/VOY17/2022","2022-04-03"
"USA","hCoV-19/USA/NC-MCPH-CLT-006557/2022","2022-04-03"
"Slovakia","hCoV-19/Slovakia/TN_22_00000942/2022","2022-04-02"
"Spain","hCoV-19/Spain/CB-HUMV-602200189864/2022","2022-04-02"
"Pakistan","hCoV-19/Pakistan/NIH-B40-S16/2021","2022-04-02"
"Germany","hCoV-19/Germany/BE-ChVir26682/2022","2022-04-02"
"Indonesia","hCoV-19/Indonesia/KI-NIHRD-WGS_22_03919/2022","2022-04-02"
"Italy","hCoV-19/Italy/CAM-AMES_0122_1/2022","2022-04-02"
"United Kingdom","hCoV-19/Scotland/QEUH-3C7107E/2022","2022-04-02"
"India","hCoV-19/India/HP-INSACOG-NII-314/2022","2022-04-02"
"Philippines","hCoV-19/Philippines/PH-RITM-1240/2022","2022-04-02"
"Australia","hCoV-19/Australia/ACT4408/2022","2022-04-02"
"Malaysia","hCoV-19/Malaysia/IMR_WC196437/2022","2022-04-02"
"Brazil","hCoV-19/Brazil/SP-IB_155975/2022","2022-04-01"
"Paraguay","hCoV-19/Paraguay/395066/2022","2022-04-01"
"Switzerland","hCoV-19/Switzerland/BE-Risch-2233005007/2022","2022-04-01"
"Liechtenstein","hCoV-19/Liechtenstein/FL-Risch-2233002198/2022","2022-04-01"
"El Salvador","hCoV-19/El Salvador/2092-GMI/2022","2022-04-01"
"The Bahamas","hCoV-19/Bahamas/18274-GMI/2021","2022-04-01"
"Belgium","hCoV-19/Belgium/ULG-25519/2022","2022-04-01"
"Mexico","hCoV-19/Mexico/CMX-INER-IBT-1689/2022","2022-04-01"
"Czech Republic","hCoV-19/Czech Republic/27SVAN37981/2022","2022-04-01"
"Belize","hCoV-19/Belize/8734643-GMI/2021","2022-04-01"
"Denmark","hCoV-19/Denmark/DCGC-455510/2022","2022-04-01"
"Norway","hCoV-19/Norway/14316/2022","2022-04-01"
"Curacao","hCoV-19/Curacao/CW-RIVM-94600/2022","2022-04-01"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-93444/2022","2022-04-01"
"Netherlands","hCoV-19/Netherlands/ZH-RIVM-94522/2022","2022-04-01"
"Ireland","hCoV-19/Ireland/WW-NVRL-S22IRL00072805/2022","2022-04-01"
"South Korea","hCoV-19/South Korea/KDCA33181/2022","2022-04-01"
"Japan","hCoV-19/Japan/NIID-patho-TMEO-116-2/2022","2022-04-01"
"Papua New Guinea","hCoV-19/Papua New Guinea/PNG7856/2022","2022-04-01"
"Democratic Republic of the Congo","hCoV-19/DRC/RDC-593/2022","2022-04-01"
"Botswana","hCoV-19/Botswana/R106B39_BHP_AAC77603/2022","2022-04-01"
"Vietnam","hCoV-19/Vietnam/PIHCM_1084/2022","2022-04-01"
"Poland","hCoV-19/Poland/WSSEGorzow-22S2424/2022","2022-04-01"
"Singapore","hCoV-19/Singapore/3331/2022","2022-04-01"
"Slovenia","hCoV-19/Slovenia/23-016931-MB/2022","2022-04-01"
"Moldova","hCoV-19/Moldova/F0002/2022","2022-04-01"
"South Africa","hCoV-19/South Africa/NICD-N37124/2022","2022-04-01"
"Venezuela","hCoV-19/Venezuela/Mir813/2022","2022-03-31"
"France","hCoV-19/France/PAC-CHUNICE-2201160956/2022","2022-03-31"
"Guatemala","hCoV-19/Guatemala/82860-GMI/2021","2022-03-31"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/AGCI783/2022","2022-03-31"
"Sweden","hCoV-19/Sweden/01_SE100_22CS103412/2022","2022-03-31"
"Peru","hCoV-19/Peru/LIM-INS-15798/2022","2022-03-31"
"Austria","hCoV-19/Austria/CeMM26216/2022","2022-03-31"
"Canada","hCoV-19/Canada/NB-CHUDGLD-250322-MM00671R/2022","2022-03-31"
"Republic of the Congo","hCoV-19/Congo/FCRM-183-A10/2022","2022-03-31"
"Saint Martin","hCoV-19/Saint-Martin/IPP20676/2022","2022-03-31"
"Mauritius","hCoV-19/Mauritius/CERI-KRISP-K037835/2022","2022-03-31"
"Mozambique","hCoV-19/Mozambique/CERI-KRISP-K037919/2022","2022-03-31"
"Costa Rica","hCoV-19/Costa Rica/INC-3549-748425/2022","2022-03-31"
"Russia","hCoV-19/Russia/MOW-CRIE-L188V0588/2021","2022-03-31"
"Hong Kong","hCoV-19/Hong Kong/VOC236-P1D0/2022","2022-03-31"
"Guadeloupe","hCoV-19/Guadeloupe/CERBAHC-03811350/2022","2022-03-30"
"Colombia","hCoV-19/Colombia/DC-LSPSDS-VG-163182/2022","2022-03-30"
"Estonia","hCoV-19/Estonia/RC0628229/2022","2022-03-30"
"Ecuador","hCoV-19/Ecuador/USFQ-3277/2022","2022-03-30"
"Turkey","hCoV-19/Turkey/HSGM-G6023/2022","2022-03-30"
"Puerto Rico","hCoV-19/Puerto Rico/PR-CDC-ASC210735592/2022","2022-03-30"
"Chile","hCoV-19/Chile/AP-35410/2022","2022-03-30"
"Romania","hCoV-19/Romania/222ECMIf/2022","2022-03-30"
"Croatia","hCoV-19/Croatia/33619/2022","2022-03-30"
"Reunion","hCoV-19/Reunion/LRE-ChuReu-522031139403/2022","2022-03-30"
"Kenya","hCoV-19/Kenya/SS7052/2021","2022-03-30"
"Kuwait","hCoV-19/Kuwait/Jaber2220071252/2022","2022-03-29"
"Brunei","hCoV-19/Brunei/7122064849/2022","2022-03-29"
"Iran","hCoV-19/Iran/AQ0929/2022","2022-03-29"
"Bangladesh","hCoV-19/Bangladesh/BCSIR-DU-401/2022","2022-03-29"
"Djibouti","hCoV-19/Djibouti/NAMRU3_B166/2022","2022-03-29"
"Jordan","hCoV-19/Jordan/Biolab0640/2022","2022-03-29"
"Mayotte","hCoV-19/Mayotte/HCL722001397701/2022","2022-03-28"
"Andorra","hCoV-19/Andorra/AND-255_220541273101_COV-GC/2022","2022-03-28"
"Georgia","hCoV-19/Georgia/Tb-sNGS4834/2022","2022-03-28"
"Portugal","hCoV-19/Portugal/PT30607/2022","2022-03-28"
"Jamaica","hCoV-19/Jamaica/JAM-UWIMicro-0344/2022","2022-03-28"
"Nigeria","hCoV-19/Nigeria/NCDC-NR-GL-003825/2022","2022-03-28"
"Martinique","hCoV-19/Martinique/IPP18925/2022","2022-03-28"
"Lithuania","hCoV-19/Lithuania/LTU000_REZUS_03_09_105/2022","2022-03-28"
"Sri Lanka","hCoV-19/Sri Lanka/aicbu5350/2022","2022-03-27"
"Algeria","hCoV-19/Algeria/18971/2022","2022-03-27"
"Argentina","hCoV-19/Argentina/PAIS-E0968/2022","2022-03-25"
"Nepal","hCoV-19/Nepal/NPHL-S-1443/2022","2022-03-25"
"Kosovo","hCoV-19/Kosovo/CO-00699-XXK000_4290_Feb_01_Niph_2022/2022","2022-03-24"
"Belarus","hCoV-19/Belarus/HM-CRIE-7735754951/2022","2022-03-24"
"Tunisia","hCoV-19/Tunisia/S-1579/2021.","2022-03-24"
"New Zealand","hCoV-19/New Zealand/22CH1837/2022","2022-03-24"
"Israel","hCoV-19/Israel/SMC-7046949/2022","2022-03-23"
"Taiwan","hCoV-19/Taiwan/NTU129/2022","2022-03-23"
"Lebanon","hCoV-19/Lebanon/LAU-CVD-893/2021","2022-03-23"
"Haiti","hCoV-19/Haiti/69120165-ICGES/2022","2022-03-22"
"Cabo Verde","hCoV-19/Cabo Verde/SV30131/2021","2022-03-22"
"Suriname","hCoV-19/Suriname/SR-982/2022","2022-03-22"
"Ethiopia","hCoV-19/Ethiopia/ILRI_COVM02790/2022","2022-03-22"
"Comoros","hCoV-19/Comoros/SS5372/2021","2022-03-22"
"Malawi","hCoV-19/Malawi/MLW-00462/2021","2022-03-21"
"Senegal","hCoV-19/Senegal/B31b21_567488048/2022","2022-03-21"
"Solomon Islands","hCoV-19/Solomon Islands/SOL36524/2022","2022-03-20"
"Cambodia","hCoV-19/Cambodia/22-2203091452/2022","2022-03-19"
